,STATE,DATE,HIGHWAY_GALLONS,State_abb,StateCode,FIPScode,MF_num,year
293,Arkansas,1976-06-30,363258000.0,AR,4.0,5.0,MF-22,1976
294,Arkansas,1976-09-30,373110000.0,AR,4.0,5.0,MF-22,1976
295,Arkansas,1976-12-31,363459000.0,AR,4.0,5.0,MF-22,1976
296,Arkansas,1977-03-31,326769000.0,AR,4.0,5.0,MF-22,1977
297,Arkansas,1977-06-30,379050000.0,AR,4.0,5.0,MF-22,1977
298,Arkansas,1977-09-30,383795000.0,AR,4.0,5.0,MF-22,1977
299,Arkansas,1977-12-31,386954000.0,AR,4.0,5.0,MF-22,1977
300,Arkansas,1978-03-31,324317000.0,AR,4.0,5.0,MF-22,1978
301,Arkansas,1978-06-30,421238000.0,AR,4.0,5.0,MF-22,1978
302,Arkansas,1978-09-30,414390000.0,AR,4.0,5.0,MF-22,1978
303,Arkansas,1978-12-31,382188000.0,AR,4.0,5.0,MF-22,1978
304,California,1960-03-31,1404291000.0,CA,5.0,6.0,MF-22,1960
305,California,1960-06-30,1518420000.0,CA,5.0,6.0,MF-22,1960
306,California,1960-09-30,1608939000.0,CA,5.0,6.0,MF-22,1960
307,California,1960-12-31,1523099000.0,CA,5.0,6.0,MF-22,1960
308,California,1961-03-31,1434928000.0,CA,5.0,6.0,MF-22,1961
309,California,1961-06-30,1579847000.0,CA,5.0,6.0,MF-22,1961
310,California,1961-09-30,1659004000.0,CA,5.0,6.0,MF-22,1961
311,California,1961-12-31,1574457000.0,CA,5.0,6.0,MF-22,1961
312,California,1962-03-31,1549142000.0,CA,5.0,6.0,MF-22,1962
313,California,1962-06-30,1521627000.0,CA,5.0,6.0,MF-22,1962
314,California,1962-09-30,1699421000.0,CA,5.0,6.0,MF-22,1962
315,California,1962-12-31,1721165000.0,CA,5.0,6.0,MF-22,1962
316,California,1963-03-31,1601051000.0,CA,5.0,6.0,MF-22,1963
317,California,1963-06-30,1742158000.0,CA,5.0,6.0,MF-22,1963
318,California,1963-09-30,1831647000.0,CA,5.0,6.0,MF-22,1963
319,California,1963-12-31,1759693000.0,CA,5.0,6.0,MF-22,1963
320,California,1964-03-31,1728742000.0,CA,5.0,6.0,MF-22,1964
321,California,1964-06-30,1850261000.0,CA,5.0,6.0,MF-22,1964
322,California,1964-09-30,1939780000.0,CA,5.0,6.0,MF-22,1964
323,California,1964-12-31,1831910000.0,CA,5.0,6.0,MF-22,1964
324,California,1965-03-31,1791390000.0,CA,5.0,6.0,MF-22,1965
325,California,1965-06-30,1909066000.0,CA,5.0,6.0,MF-22,1965
326,California,1965-09-30,2010075000.0,CA,5.0,6.0,MF-22,1965
327,California,1965-12-31,1940116000.0,CA,5.0,6.0,MF-22,1965
328,California,1966-03-31,1860450000.0,CA,5.0,6.0,MF-22,1966
